"year","month","week","accidents","fatalities","total_gdp","gdp_per_capita","unemployment","population","vehicles","inflation_rate","quarter","season","is_summer","is_winter","is_holiday","AccidentGrowthRate","FatalityGrowthRate","FatalityRate","AccidentChangeRate","FatalityChangeRate","AccidentsPerCapita","FatalitiesPerCapita","AccidentsPerVehicle","economic_crisis","covid","new_highways","speed_limits","seat_belt","helmet","alcohol","phone","licensing","airbags","abs","kid_seat","fines","pedestrians","kteo","point_system"
1996,"6",2,579,46,100.664,9.489,426.8,10608821,3797234,8.2,2,"Summer",1,0,0,6.72,10.5,0.079447322970639,6.72,10.5,5.45772239912428e-05,4.33601434127317e-06,0.000152479410012657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,"6",3,568,41,100.664,9.489,426.8,10608821,3797234,8.2,2,"Summer",1,0,0,-0.0189982728842832,-0.108695652173913,0.0721830985915493,-0.0189982728842832,-0.108695652173913,5.35403509965905e-05,3.86470843461305e-06,0.000149582564572002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,"6",4,535,38,100.664,9.489,426.8,10608821,3797234,8.2,2,"Summer",1,0,0,-0.0580985915492958,-0.0731707317073171,0.0710280373831776,-0.0580985915492958,-0.0731707317073171,5.04297320126336e-05,3.58192489061697e-06,0.000140892028250037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,"6",5,534,47,100.664,9.489,426.8,10608821,3797234,8.2,2,"Summer",1,0,0,-0.00186915887850467,0.236842105263158,0.0880149812734082,-0.00186915887850467,0.236842105263158,5.03354708313016e-05,4.4302755226052e-06,0.000140628678664523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,"6",6,75,10,100.664,9.489,426.8,10608821,3797234,8.2,2,"Summer",1,0,0,-0.859550561797753,-0.787234042553192,0.133333333333333,-0.859550561797753,-0.787234042553192,7.06958859990191e-06,9.42611813320255e-07,1.97512189135566e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,"7",1,532,49,100.664,9.489,426.8,10608821,3797234,8.2,3,"Summer",1,0,0,6.09333333333333,3.9,0.0921052631578947,6.09333333333333,3.9,5.01469484686376e-05,4.61879788526925e-06,0.000140101979493494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,"7",2,597,45,100.664,9.489,426.8,10608821,3797234,8.2,3,"Summer",1,0,0,0.12218045112782,-0.0816326530612245,0.0753768844221105,0.12218045112782,-0.0816326530612245,5.62739252552192e-05,4.24175315994115e-06,0.00015721970255191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,"7",3,547,54,100.664,9.489,426.8,10608821,3797234,8.2,3,"Summer",1,0,0,-0.0837520938023451,0.2,0.0987202925045704,-0.0837520938023451,0.2,5.15608661886179e-05,5.09010379192938e-06,0.000144052223276206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,"7",4,516,43,100.664,9.489,426.8,10608821,3797234,8.2,3,"Summer",1,0,0,-0.056672760511883,-0.203703703703704,0.0833333333333333,-0.056672760511883,-0.203703703703704,4.86387695673252e-05,4.0532307972771e-06,0.000135888386125269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,"7",5,292,27,100.664,9.489,426.8,10608821,3797234,8.2,3,"Summer",1,0,0,-0.434108527131783,-0.372093023255814,0.0924657534246575,-0.434108527131783,-0.372093023255814,2.75242649489514e-05,2.54505189596469e-06,7.68980789701135e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
